"""","通　　　　　　　　関　　　　　　　　実　　　　　　　　績_和　歌　山　県(和歌山税関支署管内)_輸　　出　　額","通　　　　　　　　関　　　　　　　　実　　　　　　　　績_和　歌　山　県(和歌山税関支署管内)_前年(同月･期)比","通　　　　　　　　関　　　　　　　　実　　　　　　　　績_和　歌　山　県(和歌山税関支署管内)_輸　　入　　額","通　　　　　　　　関　　　　　　　　実　　　　　　　　績_和　歌　山　県(和歌山税関支署管内)_前年(同月･期)比","通　　　　　　　　関　　　　　　　　実　　　　　　　　績_全　　　国_輸　　出　　額","通　　　　　　　　関　　　　　　　　実　　　　　　　　績_全　　　国_輸　　入　　額"
"平成20年8月","629.0","25.54890219560879","904.0","73.18007662835248","70514.39","73656.72"
"平成20年9月","626.0","30.416666666666657","913.0","128.8220551378446","73613.02","72703.32"
"平成20年10月","419.0","-1.8735362997658171","493.0","26.08695652173914","69148.11","69900.25"
"平成20年11月","513.0","20.99056603773586","400.0","-28.57142857142857","53235.03","55510.08"
"平成20年12月","481.0","-20.62706270627062","435.0","-28.21782178217822","48304.83","51527.1"
"平成21年1月","367.0","-10.268948655256722","266.0","-59.07692307692308","34778.25","44457.62"
"平成21年2月","343.0","-30.566801619433207","317.0","-51.08024691358025","35295.75","34587.28"
"平成21年3月","461.0","-12.689393939393938","314.0","-25.59241706161137","41837.94","41892.01"
"平成21年4月","424.0","-9.787234042553195","409.0","-27.482269503546092","41947.08","41457.2"
"平成21年5月","381.0","-31.227436823104696","378.0","-57.19139297848245","40199.52","37385.6"
"平成21年6月","330.0","-44.25675675675676","347.0","-57.37100737100737","45944.1","41074.18"
"平成21年7月","404.0","-43.73259052924791","410.0","-46.26474442988204","48430.01","44773.33"
"平成21年8月","317.0","-49.60254372019078","358.0","-60.39823008849557","45098.04","43445.86"
"平成21年9月","355.0","-43.29073482428115","369.0","-59.58378970427163","51093.86","45917.56"
"平成21年10月","294.0","-29.832935560859184","337.0","-31.643002028397575","53083.19","45082.59"
"平成21年11月","262.0","-48.92787524366472","272.0","-32.0","49881.63","46229.06"
"平成21年12月","369.0","-23.28482328482329","501.0","15.172413793103459","54116.78","48691.49"
"平成22年1月","346.0","-5.722070844686641","380.0","42.85714285714286","49008.88","48578.06"
"平成22年2月","301.0","-12.244897959183675","350.0","10.410094637223978","51271.47","44888.7"
"平成22年3月","433.0","-6.073752711496752","380.0","21.01910828025477","60004.24","50684.89"
"平成22年4月","374.0","-11.79245283018868","524.0","28.117359413202934","58897.44","51605.03"
"平成22年5月","396.0","3.937007874015734","471.0","24.603174603174608","53086.04","49994.77"
"平成22年6月","421.0","27.575757575757592","511.0","47.26224783861673","58672.2","51966.97"
"平成22年7月","321.0","-20.544554455445535","492.0","20.0","59819.05","51972.94"
"平成22年8月","397.0","25.236593059936908","498.0","39.10614525139664","52097.57","51460.04"
"平成22年9月","376.0","5.915492957746466","347.0","-5.962059620596207","58396.35","50653.21"
"平成22年10月","291.0","-1.0204081632653015","346.0","2.670623145400583","57224.96","49098.69"
"平成22年11月","340.0","29.7709923664122","474.0","74.26470588235296","54398.04","52821.84"
"平成22年12月","366.0","-0.8130081300813004","400.0","-20.15968063872255","61120.01","53924.43"
"平成23年1月","403.24","16.543352601156073","468.49","23.286842105263148","49701.32","54672.91"
"平成23年2月","323.03","7.3189368770764105","443.83","26.808571428571426","55890.21","49520.34"
"平成23年3月","480.86","11.053117782909936","451.18","18.731578947368433","58585.17","56875.87"
"平成23年4月","392.3","4.893048128342258","695.65","32.757633587786245","51566.48","56343.85"
"平成23年5月","444.95","12.361111111111114","547.51","16.24416135881104","47592.97","56199.81"
"平成23年6月","422.34","0.318289786223275","558.21","9.238747553816069","57746.13","57101.61"
"平成23年7月","417.61","30.09657320872273","576.57","17.18902439024393","57817.63","57120.23"
"平成23年8月","441.35","11.17128463476071","458.11","-8.010040160642575","53556.81","61331.36"
"平成23年9月","415.68","10.553191489361708","463.35","33.530259365994254","59738.19","56850.46"
"平成23年10月","415.27","42.704467353951884","484.9","40.144508670520224","55069.28","57899.41"
"平成23年11月","378.62","11.35882352941178","581.02","22.578059071729967","51961.73","58874.1"
"平成23年12月","413.3","12.923497267759558","500.07","25.0175","56238.82","58321.91"
"平成24年1月","431.12","6.91399662731871","577.55","23.279045443872846","45136.64","60043.39"
"平成24年2月","378.51","17.17487539856978","684.07","54.128833111777055","54426.24","54167.3"
"平成24年3月","472.85","-1.6657655034729402","679.68","50.64497539784563","62033.94","62852.29"
"平成24年4月","390.52","-0.4537343869487671","846.4","21.670380219938195","55648.98","60833.26"
"平成24年5月","514.25","15.574783683559957","779.42","42.3572172197768","52368.58","61447.89"
"平成24年6月","450.44","6.653407207463189","551.44","-1.2128052166747239","56418.47","55857.66"
"平成24年7月","517.77","23.984099997605426","575.51","-0.18384584699170148","53122.11","58407.61"
"平成24年8月","399.65","-9.448283675087808","559.7","22.17589661871604","50444.05","58128.41"
"平成24年9月","416.2","0.12509622786758712","438.58","-5.345850868673793","53579.33","59261.27"
"平成24年10月","384.49","-7.412045175428034","234.29","-51.682821200247474","51480.11","57042.06"
"平成24年11月","369.22","-2.4827003327874877","522.6","-10.054731334549587","49831.8","59402.2"
"平成24年12月","474.49","14.805226227921594","596.84","19.35129081928531","52985.47","59442.95"
"平成25年1月","450.9","4.588049730933392","419.03","-27.446974287940435","47985.73","64316.9"
"平成25年2月","454.35","20.036458746136177","521.58","-23.753417047962927","52832.69","60565.95"
"平成25年3月","545.97","15.463677699058891","706.66","3.96951506591337","62702.49","66271.46"
"平成25年4月","511.33","30.935675509576953","744.18","-12.077032136105856","57757.7","66531.35"
"平成25年5月","554.89","7.902771025765659","688.57","-11.656103256267471","57652.04","67565.26"
"平成25年6月","522.4","15.975490631382641","310.34","-43.72189177426375","60586.11","62391.38"
"平成25年7月","597.31","15.362033335264698","614.57","6.787023683341744","59584.97","69909.54"
"平成25年8月","529.48","32.485925184536484","552.42","-1.3006968018581517","57821.1","67535.18"
"平成25年9月","456.9","9.778952426717908","423.87","-3.3540061106297543","59709.5","69141.99"
"平成25年10月","490.07","27.459751879112588","584.44","149.45153442315083","61029.69","72033.96"
"平成25年11月","569.61","54.2738746546774","458.98","-12.173746651358599","58988.12","71999.02"
"平成25年12月","489.47","3.1570739109359636","383.96","-35.66785068024933","61091.78","74163.45"
"平成26年1月","589.98","30.844976713240214","734.6","75.30964370092835","52519.17032","80470.32407"
"平成26年2月","521.57","14.794761747551462","556.37","6.670117719237695","57991.70057","66052.98925"
